species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1, 0, 0.11, 0.2, 0.92, 0.01, 1, 0.94
Node_species10_species19_0, 0.48, 0, 0.3, 0.24, 0.47, 0.11, 0.48, 0.36
Node_species12_species0_0, 0.35, 0, 0.12, 0.13, 0.32, 0.01, 0.35, 0.32
Node_species12_species16_0, 0.45, 0, 0.66, 0.12, 0.43, 0, 0.45, 0.3
Node_species12_species20_0, 0.13, 0, 0, 0.03, 0.13, 0.13, 0.13, 0.13
Node_species12_species4_0, 0.63, 0, 0.4, 0.55, 0.53, 0, 0.63, 0.57
Node_species12_species7_0, 0.5, 0, 0.17, 0.2, 0.49, 0, 0.5, 0.45
Node_species16_species28_0, 0.44, 0, 0.01, 0.13, 0.44, 0.03, 0.44, 0.28
Node_species19_species15_0, 0.83, 0, 0.04, 0.12, 0.75, 0, 0.83, 0.83
Node_species20_species21_0, 0.8, 0, 0.14, 0.44, 0.77, 0.01, 0.8, 0.63
Node_species21_species9_0, 0.87, 0, 0.09, 0.21, 0.87, 0.01, 0.87, 0.74
Node_species22_species14_0, 0.6, 0, 0.13, 0.5, 0.6, 0.03, 0.6, 0.53
Node_species22_species24_0, 0.47, 0, 0.09, 0.26, 0.46, 0, 0.47, 0.42
Node_species25_species10_0, 0.55, 0, 0.12, 0.38, 0.52, 0.03, 0.55, 0.4
Node_species26_species18_0, 0.5, 0, 0.36, 0.33, 0.43, 0, 0.5, 0.49
Node_species27_species23_0, 0.76, 0, 0.08, 0.15, 0.72, 0, 0.76, 0.71
Node_species28_species2_0, 0.73, 0, 0.09, 0.59, 0.72, 0.15, 0.73, 0.53
Node_species3_species1_0, 0.54, 0, 0.22, 0.34, 0.52, 0.01, 0.54, 0.53
Node_species4_species22_0, 0.33, 0, 0.32, 0.35, 0.3, 0.03, 0.33, 0.31
Node_species4_species25_0, 0.59, 0, 0.34, 0.32, 0.54, 0.01, 0.59, 0.56
Node_species4_species6_0, 0.74, 0, 0.22, 0.27, 0.73, 0.01, 0.74, 0.43
Node_species5_species11_0, 0.39, 0, 0.16, 0.19, 0.37, 0, 0.39, 0.36
Node_species6_species13_0, 0.91, 0, 0.09, 0.21, 0.89, 0.12, 0.91, 0.9
Node_species6_species27_0, 0.77, 0, 0.01, 0.33, 0.76, 0.04, 0.77, 0.76
Node_species7_species5_0, 0.89, 0, 0.1, 0.18, 0.85, 0.01, 0.89, 0.88
Node_species8_species12_0, 0.38, 0, 0.03, 0.21, 0.36, 0.03, 0.38, 0.34
Node_species8_species17_0, 0.63, 0, 0.17, 0.4, 0.63, 0.02, 0.63, 0.56
Node_species8_species26_0, 0.48, 0, 0.2, 0.18, 0.46, 0.03, 0.48, 0.36
species0, 1, 0, 0.04, 0.47, 1, 0, 1, 1
species1, 1, 0, 0.42, 0.51, 1, 0, 1, 1
species10, 1, 0, 0.13, 0.31, 1, 0.01, 1, 1
species11, 1, 0, 0.49, 0.69, 1, 0.01, 1, 1
species12, 1, 0, 0.12, 0.38, 1, 0, 1, 1
species13, 1, 0, 0.05, 0.19, 1, 0, 1, 1
species14, 1, 0, 0.09, 0.29, 1, 0.01, 1, 1
species15, 1, 0, 0.03, 0.21, 1, 0.01, 1, 1
species16, 1, 0, 0.34, 0.79, 1, 0.02, 1, 1
species17, 1, 0, 0.13, 0.64, 1, 0.01, 1, 1
species18, 1, 0, 0.19, 0.64, 1, 0, 1, 1
species19, 1, 0, 0.29, 0.89, 1, 0, 1, 1
species2, 1, 0, 0.04, 0.44, 1, 0, 1, 1
species20, 1, 0, 0.07, 0.36, 1, 0, 1, 1
species21, 1, 0, 0.7, 0.61, 1, 0, 1, 1
species22, 1, 0, 0.05, 0.51, 1, 0, 1, 1
species23, 1, 0, 0.32, 0.71, 1, 0, 1, 1
species24, 1, 0, 0.12, 0.42, 1, 0, 1, 1
species25, 1, 0, 0.15, 0.74, 1, 0.03, 1, 1
species26, 1, 0, 0.02, 0.16, 1, 0, 1, 1
species27, 1, 0, 0.18, 0.19, 1, 0, 1, 1
species28, 1, 0, 0.13, 0.35, 1, 0.01, 1, 1
species3, 1, 0, 0.19, 0.64, 1, 0.04, 1, 1
species4, 1, 0, 0.16, 0.28, 1, 0.01, 1, 1
species5, 1, 0, 0.16, 0.5, 1, 0.01, 1, 1
species6, 1, 0, 0.13, 0.36, 1, 0, 1, 1
species7, 1, 0, 0.11, 0.26, 1, 0, 1, 1
species8, 1, 0, 0.09, 0.64, 1, 0, 1, 1
species9, 1, 0, 0.05, 0.28, 1, 0, 1, 1
