species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1.05, 0, 0.07, 0.03, 0.92, 0, 1.05, 1.05
Node_species10_species19_0, 0.91, 0, 0.05, 0.23, 0.89, 0.04, 0.91, 0.84
Node_species12_species0_0, 1.01, 0, 0.24, 0.52, 1, 0.04, 1.01, 0.58
Node_species12_species16_0, 0.98, 0, 0.04, 0.08, 0.98, 0, 0.98, 0.98
Node_species12_species20_0, 0.55, 0, 0, 0.16, 0.55, 0.55, 0.55, 0.55
Node_species12_species4_0, 1, 0, 0.02, 0.01, 1, 0.01, 1, 1
Node_species12_species7_0, 0.46, 0, 0.58, 0.23, 0.41, 0, 0.46, 0.42
Node_species16_species28_0, 0.67, 0, 0.01, 0.3, 0.67, 0.07, 0.67, 0.64
Node_species19_species15_0, 1.01, 0, 0.09, 0.2, 0.97, 0.01, 1.01, 0.98
Node_species20_species21_0, 0.54, 0, 0.52, 0.31, 0.52, 0, 0.54, 0.5
Node_species21_species9_0, 1.03, 0, 0.04, 0.04, 0.99, 0, 1.03, 1.01
Node_species22_species14_0, 0.92, 0, 0.07, 0.13, 0.85, 0.01, 0.92, 0.92
Node_species22_species24_0, 1, 0, 0.01, 0.14, 0.99, 0.01, 1, 1
Node_species25_species10_0, 0.92, 0, 0.07, 0.19, 0.91, 0.02, 0.92, 0.9
Node_species26_species18_0, 1, 0, 0.05, 0.09, 1, 0, 1, 0.99
Node_species27_species23_0, 1.01, 0, 0.02, 0.05, 1, 0, 1.01, 1.01
Node_species28_species2_0, 0.88, 0, 0.01, 0.11, 0.88, 0.03, 0.88, 0.74
Node_species3_species1_0, 0.77, 0, 0.35, 0.2, 0.68, 0.02, 0.77, 0.76
Node_species4_species22_0, 0.55, 0, 0.18, 0.19, 0.46, 0, 0.55, 0.51
Node_species4_species25_0, 0.94, 0, 0.37, 0.49, 0.92, 0.08, 0.94, 0.5
Node_species4_species6_0, 1, 0, 0, 0, 1, 0, 1, 1
Node_species5_species11_0, 0.92, 0, 0.25, 0.54, 0.91, 0.03, 0.92, 0.84
Node_species6_species13_0, 0.99, 0, 0.52, 0.42, 0.99, 0, 0.99, 0.67
Node_species6_species27_0, 1.01, 0, 0.05, 0.16, 0.99, 0, 1.01, 0.89
Node_species7_species5_0, 1, 0, 0, 0.32, 1, 0, 1, 0.99
Node_species8_species12_0, 0.77, 0, 0.01, 0.19, 0.77, 0.01, 0.77, 0.63
Node_species8_species17_0, 0.97, 0, 0.05, 0.03, 0.93, 0.01, 0.97, 0.96
Node_species8_species26_0, 1, 0, 0.02, 0.05, 1, 0, 1, 0.99
species0, 1, 0, 0.04, 0.04, 1, 0, 1, 1
species1, 1, 0, 0.62, 0.18, 1, 0.01, 1, 1
species10, 1, 0, 0.03, 0.14, 1, 0, 1, 1
species11, 1, 0, 0.06, 0.23, 1, 0, 1, 1
species12, 1, 0, 0.19, 1.07, 1, 0.01, 1, 1
species13, 1, 0, 0, 0.01, 1, 0, 1, 1
species14, 1, 0, 0.04, 0.12, 1, 0.02, 1, 1
species15, 1, 0, 0.04, 0.15, 1, 0, 1, 1
species16, 1, 0, 0.01, 0.04, 1, 0, 1, 1
species17, 1, 0, 0.12, 0.61, 1, 0.01, 1, 1
species18, 1, 0, 0.04, 0.03, 1, 0, 1, 1
species19, 1, 0, 0.06, 0.06, 1, 0, 1, 1
species2, 1, 0, 0.02, 0.12, 1, 0, 1, 1
species20, 1, 0, 0.18, 0.13, 1, 0, 1, 1
species21, 1, 0, 0.92, 0.24, 1, 0.01, 1, 1
species22, 1, 0, 0.08, 0.31, 1, 0, 1, 1
species23, 1, 0, 0.01, 0.19, 1, 0, 1, 1
species24, 1, 0, 0, 0, 1, 0, 1, 1
species25, 1, 0, 0.05, 0.11, 1, 0, 1, 1
species26, 1, 0, 0.01, 0, 1, 0, 1, 1
species27, 1, 0, 0.13, 0.02, 1, 0, 1, 1
species28, 1, 0, 0.15, 0.45, 1, 0, 1, 1
species3, 1, 0, 0.03, 0.03, 1, 0, 1, 1
species4, 1, 0, 0.05, 0.16, 1, 0, 1, 1
species5, 1, 0, 0.33, 0.21, 1, 0, 1, 1
species6, 1, 0, 0.02, 0.03, 1, 0, 1, 1
species7, 1, 0, 0.01, 0.01, 1, 0, 1, 1
species8, 1, 0, 0.04, 0.1, 1, 0, 1, 1
species9, 1, 0, 0.21, 0.12, 1, 0, 1, 1
