species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.36, 0, 0.64, 0.58, 0.33, 0, 0.36, 0.36
Node_species10_species19_0, 0.92, 0, 0, 0.38, 0.92, 0, 0.92, 0.91
Node_species12_species0_0, 0.73, 0, 0.14, 0.38, 0.72, 0.05, 0.73, 0.49
Node_species12_species16_0, 1, 0, 0, 0.11, 1, 0, 1, 1
Node_species12_species20_0, 0.81, 0, 0, 0.24, 0.81, 0.81, 0.81, 0.81
Node_species12_species4_0, 1.01, 0, 0.05, 0.06, 0.98, 0, 1.01, 0.86
Node_species12_species7_0, 0.28, 0, 0.19, 0.07, 0.27, 0.03, 0.28, 0.15
Node_species16_species28_0, 1, 0, 0, 0.33, 1, 0.01, 1, 0.85
Node_species19_species15_0, 1, 0, 0, 0.01, 1, 0, 1, 1
Node_species20_species21_0, 0.86, 0, 0.73, 0.89, 0.78, 0.03, 0.86, 0.44
Node_species21_species9_0, 0.86, 0, 0.07, 0.16, 0.82, 0, 0.86, 0.85
Node_species22_species14_0, 0.99, 0, 0.07, 0.49, 0.89, 0.01, 0.99, 0.99
Node_species22_species24_0, 1, 0, 0.01, 0.04, 1, 0, 1, 1
Node_species25_species10_0, 0.21, 0, 0.9, 0.02, 0.21, 0, 0.21, 0.21
Node_species26_species18_0, 0.98, 0, 0.05, 0.22, 0.98, 0, 0.98, 0.96
Node_species27_species23_0, 0.89, 0, 0.1, 0.25, 0.87, 0, 0.89, 0.85
Node_species28_species2_0, 1, 0, 0.01, 0.01, 1, 0, 1, 0.99
Node_species3_species1_0, 0.8, 0, 0.3, 0.26, 0.75, 0, 0.8, 0.79
Node_species4_species22_0, 0.42, 0, 0.05, 0.13, 0.41, 0.01, 0.42, 0.39
Node_species4_species25_0, 0.86, 0, 0.13, 0.61, 0.86, 0.01, 0.86, 0.8
Node_species4_species6_0, 0.9, 0, 0.15, 0.17, 0.89, 0, 0.9, 0.85
Node_species5_species11_0, 0.99, 0, 0.03, 0.02, 0.98, 0, 0.99, 0.99
Node_species6_species13_0, 0.99, 0, 0.01, 0.04, 0.99, 0, 0.99, 0.99
Node_species6_species27_0, 1, 0, 0, 0.03, 1, 0, 1, 1
Node_species7_species5_0, 1, 0, 0, 0, 1, 0, 1, 0.99
Node_species8_species12_0, 0.9, 0, 0.01, 0.32, 0.9, 0.02, 0.9, 0.84
Node_species8_species17_0, 0.95, 0, 0.02, 0.26, 0.94, 0.01, 0.95, 0.89
Node_species8_species26_0, 0.96, 0, 0.02, 0.12, 0.95, 0, 0.96, 0.83
species0, 1, 0, 0.06, 0.13, 1, 0, 1, 1
species1, 1, 0, 0.69, 0.09, 1, 0, 1, 1
species10, 1, 0, 0.01, 0.02, 1, 0, 1, 1
species11, 1, 0, 0.01, 0, 1, 0, 1, 1
species12, 1, 0, 0.01, 0.03, 1, 0, 1, 1
species13, 1, 0, 0.02, 0.02, 1, 0, 1, 1
species14, 1, 0, 0.01, 0.12, 1, 0, 1, 1
species15, 1, 0, 0.01, 0, 1, 0, 1, 1
species16, 1, 0, 0.06, 0.04, 1, 0, 1, 1
species17, 1, 0, 0.02, 0.07, 1, 0, 1, 1
species18, 1, 0, 0, 0.09, 1, 0, 1, 1
species19, 1, 0, 0.06, 0.53, 1, 0, 1, 1
species2, 1, 0, 0, 0, 1, 0, 1, 1
species20, 1, 0, 0.06, 0.17, 1, 0, 1, 1
species21, 1, 0, 0.25, 0.08, 1, 0, 1, 1
species22, 1, 0, 0.09, 0.36, 1, 0.01, 1, 1
species23, 1, 0, 0, 0.11, 1, 0, 1, 1
species24, 1, 0, 0.01, 0.12, 1, 0, 1, 1
species25, 1, 0, 0.03, 0.08, 1, 0, 1, 1
species26, 1, 0, 0.05, 0.17, 1, 0, 1, 1
species27, 1, 0, 0.12, 0.34, 1, 0, 1, 1
species28, 1, 0, 0.12, 0.17, 1, 0, 1, 1
species3, 1, 0, 0.05, 0.1, 1, 0, 1, 1
species4, 1, 0, 0, 0.03, 1, 0, 1, 1
species5, 1, 0, 0.13, 0.28, 1, 0, 1, 1
species6, 1, 0, 0.03, 0.04, 1, 0, 1, 1
species7, 1, 0, 0.01, 0.01, 1, 0, 1, 1
species8, 1, 0, 0.12, 0.35, 1, 0, 1, 1
species9, 1, 0, 0.11, 0.4, 1, 0, 1, 1
