species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.19, 0, 0.98, 0.05, 0.19, 0, 0.19, 0.18
Node_species10_species19_0, 1.3, 0, 0.02, 0.22, 0.96, 0.07, 1.3, 1.28
Node_species12_species0_0, 0.29, 0, 0.2, 0.06, 0.24, 0, 0.29, 0.29
Node_species12_species16_0, 0.85, 0, 0.01, 0.23, 0.79, 0.01, 0.85, 0.85
Node_species12_species20_0, 0.2, 0, 0, 0.04, 0.2, 0.2, 0.2, 0.2
Node_species12_species4_0, 1.02, 0, 0.03, 0.02, 0.99, 0, 1.02, 1.01
Node_species12_species7_0, 1, 0, 0.07, 0.31, 0.96, 0.02, 1, 1
Node_species16_species28_0, 0.99, 0, 0, 0.47, 0.99, 0.39, 0.99, 0.77
Node_species19_species15_0, 1, 0, 0.06, 0.31, 0.98, 0, 1, 1
Node_species20_species21_0, 1.61, 0, 0.05, 0.26, 0.98, 0.01, 1.61, 1.61
Node_species21_species9_0, 0.97, 0, 0.04, 0.03, 0.96, 0, 0.97, 0.97
Node_species22_species14_0, 1.61, 0, 0.25, 0.43, 0.99, 0.17, 1.61, 1.33
Node_species22_species24_0, 0.98, 0, 0.07, 0.32, 0.98, 0.02, 0.98, 0.88
Node_species25_species10_0, 1.04, 0, 0.05, 1.95, 0.99, 0, 1.04, 0.98
Node_species26_species18_0, 1.14, 0, 0, 0.26, 0.99, 0, 1.14, 1.12
Node_species27_species23_0, 1.01, 0, 0, 0.01, 0.99, 0, 1.01, 1
Node_species28_species2_0, 1.01, 0, 0.01, 0.94, 1, 0, 1.01, 1.01
Node_species3_species1_0, 0.19, 0, 0.95, 0.08, 0.18, 0, 0.19, 0.19
Node_species4_species22_0, 0.28, 0, 0.84, 0.4, 0.27, 0.01, 0.28, 0.24
Node_species4_species25_0, 1.01, 0, 0.8, 0.29, 0.93, 0, 1.01, 0.83
Node_species4_species6_0, 0.99, 0, 0.03, 0.05, 0.99, 0, 0.99, 0.98
Node_species5_species11_0, 0.99, 0, 0.03, 0.33, 0.97, 0, 0.99, 0.98
Node_species6_species13_0, 0.17, 0, 0.9, 0.32, 0.17, 0.01, 0.17, 0.17
Node_species6_species27_0, 1, 0, 0.01, 1.02, 0.99, 0, 1, 1
Node_species7_species5_0, 0.78, 0, 0.07, 0.15, 0.78, 0.02, 0.78, 0.21
Node_species8_species12_0, 1.13, 0, 0.03, 0.63, 0.95, 0, 1.13, 0.77
Node_species8_species17_0, 0.96, 0, 0.11, 0.08, 0.93, 0, 0.96, 0.95
Node_species8_species26_0, 0.97, 0, 0.22, 0.03, 0.97, 0, 0.97, 0.1
species0, 1, 0, 0.01, 0.02, 1, 0, 1, 1
species1, 1, 0, 0.09, 0.05, 1, 0, 1, 1
species10, 1, 0, 0.01, 0.04, 1, 0, 1, 1
species11, 1, 0, 0.02, 0.34, 1, 0, 1, 1
species12, 1, 0, 0.03, 0.03, 1, 0, 1, 1
species13, 1, 0, 0.18, 0.21, 1, 0, 1, 1
species14, 1, 0, 0.2, 0.04, 1, 0, 1, 1
species15, 1, 0, 0.01, 0.01, 1, 0, 1, 1
species16, 1, 0, 0.04, 0.01, 1, 0, 1, 1
species17, 1, 0, 0.37, 0.13, 1, 0.01, 1, 1
species18, 1, 0, 0.99, 1.2, 1, 0.01, 1, 1
species19, 1, 0, 0.12, 0.11, 1, 0.01, 1, 1
species2, 1, 0, 0.02, 0, 1, 0, 1, 1
species20, 1, 0, 0.13, 0.53, 1, 0, 1, 1
species21, 1, 0, 0.06, 0.12, 1, 0, 1, 1
species22, 1, 0, 0.72, 0.41, 1, 0, 1, 1
species23, 1, 0, 0.16, 0.2, 1, 0, 1, 1
species24, 1, 0, 0.03, 0.06, 1, 0, 1, 1
species25, 1, 0, 0.11, 0.3, 1, 0, 1, 1
species26, 1, 0, 0, 0, 1, 0, 1, 1
species27, 1, 0, 0.13, 0, 1, 0, 1, 1
species28, 1, 0, 0.1, 0.22, 1, 0, 1, 1
species3, 1, 0, 0.11, 0.03, 1, 0.01, 1, 1
species4, 1, 0, 0.03, 0.37, 1, 0, 1, 1
species5, 1, 0, 0.03, 0.18, 1, 0, 1, 1
species6, 1, 0, 0.77, 0.02, 1, 0.01, 1, 1
species7, 1, 0, 0, 0.15, 1, 0.01, 1, 1
species8, 1, 0, 0.05, 0.09, 1, 0, 1, 1
species9, 1, 0, 0.72, 0.23, 1, 0.01, 1, 1
