TIME	EVENT	NODES
0	O	Root
0.5651162994026079	S	Root;1;n1;2;n2;3
0.8705487089928268	S	n2;3;n3;4;n4;5
0.9136120164185375	S	n3;4;n5;6;n6;7
1.2972223672189198	P	n5;6
1.3899419495491498	L	n5;6
1.521621784155067	D	n1;2;n1;8;n1;9
1.8813788388702282	S	n6;7;n7;10;n8;11
1.911993857028475	S	n7;10;n9;12;n10;13
1.923694679252978	S	n8;11;n11;14;n12;15
1.9854867880629592	S	n11;14;n13;16;n14;17
2.225668125700548	S	n13;16;n15;18;n16;19
2.3185146025512	L	n12;15
2.3185146025512	T	n1;8;n1;20;n12;21
2.499581793007941	D	n14;17;n14;22;n14;23
2.502910948502324	S	n14;22;n19;24;n20;25
2.502910948502324	S	n14;23;n19;26;n20;27
2.692185102669776	S	n1;20;n21;28;n22;29
2.692185102669776	S	n1;9;n21;30;n22;31
2.7738261554119075	S	n4;5;n23;32;n24;33
2.7909555608888947	S	n21;28;n25;34;n26;35
2.7909555608888947	S	n21;30;n25;36;n26;37
2.9028419465601423	S	n15;18;n27;38;n28;39
2.9102591985123394	S	n22;29;n29;40;n30;41
2.9102591985123394	S	n22;31;n29;42;n30;43
2.9411721024977977	S	n9;12;n31;44;n32;45
2.9729747093130627	S	n28;39;n33;46;n34;47
3.0645693707283965	S	n32;45;n37;48;n38;49
3.146229668452691	F	n16;19
3.146229668452691	F	n24;33
3.146229668452691	F	n20;25
3.146229668452691	F	n20;27
3.146229668452691	F	n30;41
3.146229668452691	F	n30;43
3.146229668452691	F	n10;13
3.146229668452691	F	n34;47
3.146229668452691	F	n37;48
3.146229668452691	F	n31;44
3.146229668452691	F	n19;24
3.146229668452691	F	n19;26
3.146229668452691	F	n38;49
3.146229668452691	F	n26;35
3.146229668452691	F	n26;37
3.146229668452691	F	n29;40
3.146229668452691	F	n29;42
3.146229668452691	F	n27;38
3.146229668452691	F	n12;21
3.146229668452691	F	n23;32
3.146229668452691	F	n25;34
3.146229668452691	F	n25;36
3.146229668452691	F	n33;46
