TIME	EVENT	NODES
0	O	Root
0.5651162994026079	S	Root;1;n1;2;n2;3
0.8705487089928268	S	n2;3;n3;4;n4;5
0.9136120164185375	S	n3;4;n5;6;n6;7
0.9629218015063716	T	n1;2;n1;8;n4;9
1.8813788388702282	S	n6;7;n7;10;n8;11
1.911993857028475	S	n7;10;n9;12;n10;13
1.923694679252978	S	n8;11;n11;14;n12;15
1.9854867880629592	S	n11;14;n13;16;n14;17
2.225668125700548	S	n13;16;n15;18;n16;19
2.406050370324076	S	n5;6;n17;20;n18;21
2.502910948502324	S	n14;17;n19;22;n20;23
2.692185102669776	S	n1;8;n21;24;n22;25
2.7738261554119075	S	n4;9;n23;26;n24;27
2.7738261554119075	S	n4;5;n23;28;n24;29
2.7909555608888947	S	n21;24;n25;30;n26;31
2.811431171548241	T	n10;13;n10;32;n25;33
2.9028419465601423	S	n15;18;n27;34;n28;35
2.9102591985123394	S	n22;25;n29;36;n30;37
2.9411721024977977	S	n9;12;n31;38;n32;39
2.9729747093130627	S	n28;35;n33;40;n34;41
3.0250122621232984	S	n18;21;n35;42;n36;43
3.0645693707283965	S	n32;39;n37;44;n38;45
3.146229668452691	F	n17;20
3.146229668452691	F	n16;19
3.146229668452691	F	n24;27
3.146229668452691	F	n24;29
3.146229668452691	F	n20;23
3.146229668452691	F	n30;37
3.146229668452691	F	n35;42
3.146229668452691	F	n10;32
3.146229668452691	F	n34;41
3.146229668452691	F	n37;44
3.146229668452691	F	n31;38
3.146229668452691	F	n19;22
3.146229668452691	F	n38;45
3.146229668452691	F	n36;43
3.146229668452691	F	n26;31
3.146229668452691	F	n29;36
3.146229668452691	F	n27;34
3.146229668452691	F	n12;15
3.146229668452691	F	n23;26
3.146229668452691	F	n23;28
3.146229668452691	F	n25;30
3.146229668452691	F	n25;33
3.146229668452691	F	n33;40
